order_id,customer_id,product_id,quantity,status_code,payment_method_code,order_total_cents,ordered_at,shipped_at,delivered_at
1001,1,1,1,DEL,CC,129900,2023-06-15 10:30:00,2023-06-17 14:00:00,2023-06-20 11:00:00
1002,2,2,2,DEL,PP,5998,2023-06-18 14:45:00,2023-06-19 09:00:00,2023-06-22 16:30:00
1003,3,4,1,SHP,CC,8999,2023-06-20 09:15:00,2023-06-22 10:00:00,
1004,1,3,1,DEL,CC,4999,2023-07-01 16:20:00,2023-07-03 08:00:00,2023-07-05 14:00:00
1005,4,6,1,DEL,DC,7999,2023-07-10 11:00:00,2023-07-12 15:00:00,2023-07-15 10:00:00
1006,5,9,1,CAN,PP,19999,2023-07-15 08:30:00,,
1007,2,5,2,DEL,AP,4998,2023-07-20 15:45:00,2023-07-21 11:00:00,2023-07-24 09:00:00
1008,6,7,1,PRO,CC,3499,2023-08-01 13:10:00,,
1009,3,8,1,DEL,GP,5999,2023-08-05 10:00:00,2023-08-07 14:00:00,2023-08-10 16:00:00
1010,7,10,3,REF,BT,5997,2023-08-10 17:30:00,2023-08-12 09:00:00,
1011,8,1,1,CON,CC,129900,2023-08-20 10:00:00,,
1012,9,2,1,PEN,PP,2999,2023-08-25 14:00:00,,
1013,10,4,2,DEL,CC,17998,2023-09-01 09:30:00,2023-09-03 11:00:00,2023-09-06 15:00:00
1014,1,9,1,SHP,AP,19999,2023-09-10 16:00:00,2023-09-12 10:00:00,
1015,4,3,2,DEL,DC,9998,2023-09-15 11:30:00,2023-09-17 08:00:00,2023-09-20 14:00:00

